rank,name,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
84,"Stony Brook University, SUNY",NY,,129700.0,33215,Suburban,large,"Stony Brook University is a public research university located in Stony Brook, New York on a 1,040-acre campus on the North Shore of Long Island. It is one of the State University of New York system’s two flagship institutions, along with the University at Buffalo. The train station on campus can take you to New York City that is just 60 miles away. With more than 200 majors, minors and combined-degree programs, students have the ability to do hands-on research at the nearby Brookhaven National Laboratory. After working closely with physicists in the lab, students can board one of the school’s seagoing vessels to conduct research through the Marine Science program. Traditions include the spring Strawberry Fest and Campus Life Time, when academic activity pauses between 1:00 p.m. and 2:30 p.m. every Wednesday so students can enjoy other student life events such as expos and concerts. Notable alumni include computer designer Jef Raskin, comedian Joy Behar, Chairperson of Shutterstock Jon Oringer, and mathematician Vi Hart. ",stony-brook-university,Public,Doctoral Universities: Very High Research Activity,19,32214711.0,88.0,82.0
85,University of Connecticut,CT,,126000.0,29298,Suburban,large,"The University of Connecticut is a large public research university with its flagship campus stationed in Storrs, Conn. Considered a “Public Ivy,” UConn offers its 24,000+ undergraduates opportunities to accelerate academic and professional growth. Students at UConn can choose from over 115 majors across 10 schools and colleges. Economics, Psychology, and Communications are some of the school's most popular majors. Outside of the classroom exists yet another staple of UConn culture- athletics. Basketball’s influence is best demonstrated through the women’s basketball team, which is the winningest Division I program of all time, with a record 11 national championships. The Huskies men’s basketball team is a similar force, winning its fifth national title in 2023. The UConn Dairy Bar has been a campus favorite since 1953. As with tradition, students kick off their Winter Weekend with One Ton Sundae, an event where they indulge in ice cream with dairy that comes fresh from UConn’s own cows. Many of UConn’s most famous alumni made a name for themselves on the basketball court, including Olympic Gold Medalists and WNBA champions Sue Bird and Diana Taurasi.",university-of-connecticut,Public,Doctoral Universities: Very High Research Activity,16,44825279.0,89.0,84.0
86,Ohio State University,OH,,116900.0,66817,Urban,large,"One of the largest universities in the country, The Ohio State University is a public research institution in Columbus, Ohio, home to more than 60,000 students. The university holds the rare distinction of a land-grant, sea-grant and space-grant university, operating six total campuses across the state. Ohio State offers over 200 undergraduate majors across 18 colleges and schools. The most common areas of study at Ohio State are business and engineering-related, though other specialized majors like Agribusiness and Zoology are also available. Research is quite the driving force, as the university spent more than $1.3 billion in research and development in the fiscal year 2022. Ohio State provides financial assistance to offset the cost of attendance through merit-based scholarships and aid, such as the Ohio State Tuition Guarantee, which promises a flat rate for four years to new first-year undergraduate students. Undergraduates can also benefit from discounted summer tuition. Ohio State supports over 1,400 student organizations so students can stay involved in university affairs. The Buckeyes compete in the Division I Big Ten conference. Ohio Stadium fits more than 100,000 fans, making it one of the largest football venues in the nation. Gameday traditions—led by mascot Brutus Buckeye—often include the O-H I-O chant in the stands and the marching band’s famous Script Ohio formation.",ohio-state-university-columbus,Public,Doctoral Universities: Very High Research Activity,17,68474030.0,83.0,74.0
87,Villanova University,PA,A,140400.0,12034,Suburban,large,"Villanova University is the only Augustinian Catholic University in the nation located in Villanova, Pennsylvania, United States. Villanovans follow the motto “Become What You Are Not Yet.” Student involvement fairs are held bi-annually in the fall and spring semesters and to help all students find extracurricular activities and explore new interests. The University Career Center is available to all students and alumni and provides networking opportunities, interviewing and negotiation workshops, industry-specific advising, and career exploration resources. Notable alumni include First Lady of the United States Jill Biden, computer scientist John Hennessy, American labor leader Richard Trumka, and actress Maria Bello. ",villanova-university,Private not-for-profit,Doctoral Universities: High Research Activity,10,39107370.0,60.0,52.0
88,Wake Forest University,NC,A,145200.0,9663,Urban,medium,"Wake Forest University is a private research university located in Winston-Salem, N.C. The university offers 45 undergraduate majors and 60 minors across its seven colleges and schools. With fewer than nine thousand enrolled students, almost every class contains fewer than 50 students. The majority of students earning a liberal arts degree from Wake Forest have also studied abroad, as reported by the university’s recent graduating class. While the cost of attendance is an estimated $87,556 for the 2023-24 academic year, over 97% of students were either employed or pursuing graduate studies within six months of graduation. In 2022, the university achieved a new milestone by welcoming its first woman president, Dr. Susan R. Wente. Apart from academics, students strive to live out the mission of Wake Forest through community and outreach efforts. The university operates under the motto, Pro Humanitate meaning “For Humanity” that extends beyond the classroom. Philanthropic events such as Wake ‘N Shake Dance Marathon and “Hit The Bricks” allow students to raise awareness and funds that go toward cancer research. Famed athletes such as basketball player Chris Paul and golf legend Arnold Palmer attended Wake Forest University.",wake-forest-university,Private not-for-profit,Doctoral Universities: High Research Activity,10,22289771.0,37.0,29.0
89,"California State University, Long Beach",CA,,121700.0,43743,Urban,large,"California State University, Long Beach is situated in the heart of Long Beach, Calif. Spanning 322 acres, CSU Long Beach sits about 25 miles from downtown Los Angeles. The public research institution offers more than 190 programs across 9 colleges and departments. The most popular majors include business, psychology, and family & consumer sciences. CSU Long Beach offers a number of CSULB-exclusive scholarships and grants, as well as funding for research projects to students. Though the majority of students commute to the school, the school provides several campus-wide opportunities that can include living on campus, student employment, or joining one of the 50+ clubs with activities like hiking, dancing, and water polo. Past students have since thrived in the arts, including Oscar-winning filmmaker Steven Spielberg, artist Betye Saar, and actor Steve Martin.",california-state-university-long-beach,Public,Doctoral Universities: High Research Activity,22,33589786.0,80.0,75.0
90,Michigan State University,MI,,118800.0,53948,Urban,large,"The sprawling 5,300-acre campus in East Lansing, Mich., is home to Michigan State University, a public research university only a few miles from the state capital. MSU offers over 400 programs of study across 17 colleges with popular programs in business, biological sciences, communication, and engineering. A research-attentive institution, the university reported 2022 research expenditures totaling $759 million. Students can participate in research at the prestigious Kellogg Biological Station or take part in one of the 300+ education abroad programs. Of the more than 50,000 MSU students, the vast majority hail from Michigan, with nearly 80% of undergraduates coming from the state. Following graduation, around 64% of students work in Michigan. With the wide range of merit and talent scholarships offered by MSU, students can take advantage of financial aid that includes the competitive Alumni Distinguished Scholarship that covers the cost of attendance for incoming first-year students. Spartan Athletics is a member of the Big Ten Conference with 23 Division I teams. Famous athletes that once attended MSU include retired NBA player Magic Johnson and current professional basketball player Draymond Green.",michigan-state-university,Public,Doctoral Universities: Very High Research Activity,17,70721357.0,94.0,92.0
91,University of Rochester,NY,B-,140900.0,13405,Urban,large,"With just over 4,500 undergraduate students, the University of Rochester is a private research university in Rochester, New York. College Town is about a 20-minute walk from River Campus and is accessible with the UR shuttle system. The Rochester Curriculum doesn’t have general education requirements which allows students to jump into their interests and field of study immediately. The university’s Take Five program allows students to take a tuition-free fifth year to study and explore a passion outside of their major. The Simon Business School partnership allows undergraduates to take classes through UR’s graduate business school and if undergrads apply to Simon for grad school, they are guaranteed scholarship support. Outside of STEM, students can conduct research in a field of their choice from English to music. Notable alumni include former United States Secretary of Energy Steven Chu, economist Richard Thaler, Governor of Pennsylvania Josh Shapiro, and actress Debra Jo Rupp.",university-of-rochester,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,45195295.0,73.0,71.0
92,"Indiana University, Bloomington",IN,,117300.0,59231,Urban,large,"Indiana University-Bloomington is a public research university located in Bloomington, Indiana rich in campus traditions and student life activities. The school’s mascot is the Hoosier, school colors are cream and crimson, and school spirit is taken very seriously. Freshmen students learn the fight song and the Fists and Blades at the Traditions and Spirit kickoff event the first week on campus. Hoosier legend has it that if you need an A or good luck on your next exam, your wish will come true if you shake the hand of the Herman B Wells statue. The Little 500 is the largest collegiate bike race in the United States and is modeled after the Indianapolis 500. Teams of four ride laps around Armstrong Stadium while fans cheer them on; all of the money raised goes to student scholarships. Notable alumni include former United States Secretary of Defense Robert Gates, basketball coach Michael Woodson, American-British internet entrepreneur Jimmy Wales, and television anchor Sage Steele.",indiana-university-bloomington,Public,Doctoral Universities: Very High Research Activity,17,72479201.0,83.0,74.0
93,Bucknell University,PA,B+,155500.0,3847,Rural,medium,"Bucknell University is a private liberal arts college in Lewisburg, Pennsylvania with three colleges: Arts and Sciences, Engineering and the Freeman College of Management. The Freeman College of Management allows students to immerse themselves in real experiences and explore their futures by going inside the New York Stock Exchange and Silicon Valley’s tech firms. Freeman College students can start their own companies with Bucknell seed money and through The Student Managed Investment Fund juniors and seniors manage investments from nearly $3 million of endowment from the University. Off campus, Bucknellians can explore the historic town of Lewisburg, venture to one of eight state parks that are located less than an hour from campus, or travel 3 hours to Philadelphia. Notable alumni include, author and founding partner of the seed stage venture firm Y Combinator Jessica Livingston, American executive Les Moonves, and entrepreneur Jessica Jackley. ",bucknell-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,21644962.0,61.0,56.0
94,University of Utah,UT,,125900.0,40039,Urban,large,"The University of Utah is a public research university in Salt Lake City, Utah and is the flagship institution of higher education in Utah. Outside of the classroom, students will have the opportunity to join one of the 400 clubs and student organizations, cheer on the team with the MUSS at a Pax-12 game, enjoy downtown Salt Lake City, and spend the weekends skiing and biking in the mountains. The MUSS is the Student Fan Club and the members can be spotted at games with their customized t-shirts and their rule to stand throughout the entire game. Before every home football game, the MUSS holds a tailgate on the field with free food and a raffle. The winners of the raffle get two sideline passes and get to stand on the sidelines during an entire football game. When the band starts playing at a football game, all students form a “U” with their hands and “chop” along with the music. Notable alumni include, American billionaire businessman Bill Marriott, American scientist and businessman known for co-founding Adobe Systems Inc. John Warnock, and former White House Deputy Chief of Staff Karl Rove. ",university-of-utah,Public,Doctoral Universities: Very High Research Activity,18,48753125.0,99.0,99.0
95,Trinity University (TX),TX,A,130600.0,2782,Urban,small,"Trinity University in San Antonio, TX, is a private university founded by the Presbyterian Church that offers students liberal arts and pre-professional programs. Undergraduates can choose from nearly 60 majors, with popular programs including business, social sciences and biomedical sciences. Students have access to specialized student-teacher collaboration with the university’s 9:1 student-to-faculty ratio. Of the more than 2,500 undergraduate students enrolled, Trinity’s incoming class of 2027 totaled just under 680 students, with an admit rate of less than 30%. The majority of students take part in undergraduate research or internships. More than half of Trinity students graduate debt free. As of 2023, Trinity’s endowment was $1.7 billion. One of the university’s most prestigious awards is the Trinity Tower Scholarship, which is an annual full-tuition award. Upon graduation, ​​98% of Trinity students were either employed or accepted to graduate school within six months. There are more than 115 student organizations, and a quarter of Trinity students are involved in fraternity and sorority life. More than 70% of students participate in club or intramural sports, and 25% of students participate in varsity athletics. In 2023, the Trinity Tigers accepted the invitation to become members of the Southern Collegiate Athletic Conference, competing at the Division III level. Campus traditions often involve studying for exams beside the school’s magic stones for good luck, weekly “Milk 'n' Cookies” hangouts, or celebrating birthdays by being dunked in the campus fountain.",trinity-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,22084133.0,99.0,99.0
96,Babson College,MA,B+,175200.0,4256,Suburban,medium,"Babson College is a private business school in Wellesley, Massachusetts and was established in 1919 with a central focus of entrepreneurship education. Babson’s undergraduate program gives students a hands-on business school experience mixed with the liberal arts and sciences. The Foundations of Management and Entrepreneurship is a required course at Babson where first-year undergraduate students learn to build and run their own business. Students then showcase their creations and business-plan at the annual FME Expo at the Len Green Recreation and Athletics Complex. Babson hosts many professional events on campus to provide students with networking opportunities and professors act as mentors. Advanced Experiential is a required course for third or fourth year students that include applied projects at companies and nonprofits. The Babson Leadership Academy guides students to improve leadership competence, the Student Government Association is the voice of the student body where students can play an active role in organizing and implementing campus-wide programming. At Babson, 24 undergraduate concentrations and 7 graduate concentrations provide an opportunity for students to pursue interests that align with long-term goals. Notable alumni include President of Toyota Akio Toyoda, co-founder of The Home Depot Arthur Blank, Princess Marie of Denmark, Swiss businessman Ernesto Berterelli, businessman Gustavo Cisneros, and the great-grandson of Henry Ford I Edsel Ford II.",babson-college,Private not-for-profit,Special Focus Four-Year: Business & Management Schools,16,13425562.0,70.0,68.0
97,"University of California, Riverside",CA,,128800.0,28930,Urban,large,"The University of California, Riverside, is a public research university spanning nearly 1,200 acres in inland southern California. There are more than 80 undergraduate majors at UC Riverside, the most popular in business, psychology research, and biological sciences. Research plays a big role at the university, as UC Riverside is now a member of the Association of American Universities organization that comprises around 70 of the leading research institutions in the U.S. and Canada. More than 26,000 students attend the university and attract students of diverse backgrounds, including Hispanic or Latino and Asian ethnicities, making up the majority of the student body. No stranger to accolades, UC Riverside stands highly decorated with awards and has produced winners of 2 Nobel Prizes, 2 Guggenheim awards, and 11 Fulbright scholars. Students balance academics and involvement through the university’s 500+ student organizations. UC Riverside Highlanders compete in the Big West Conference with 17 Division I teams. Notable alumni include professional golfer Brendan Steele and veteran actress Lauren Tewes, known for her role on the hit television series ""The Love Boat.""",university-of-california-riverside,Public,Doctoral Universities: Very High Research Activity,24,84883242.0,79.0,75.0
98,Clemson University,SC,,125200.0,30368,Suburban,large,"Clemson University is a Carnegie R1 public research institution in Clemson, South Carolina with more than 80 undergraduate majors and 130 graduate degree programs. Every Friday, Clemson students, faculty, staff and alumni wear Clemson orange and the First Friday Parade has commemorated the new football season before the first home game since 1974. The tradition of Running Down the Hill is when the football team dressed at Fike Field House and ran from there to the gate and down a grassy hill onto the field at the start of each game. Bowman Field separates campus from the town of Clemson and students gather here to relax, play games and celebrate special occasions. Clemson’s 17 Living-Learning Communities are where student living spaces collide with study halls and social networking opportunities. Through these communities, undergraduate students with similar interests, hobbies or backgrounds are assigned to the same residence hall. Clemson has over 500 registered student organizations and Tiger Prowl is the University’s largest student involvement fair where students can connect and explore extra-curricular opportunities. The Cooperative Education Program offers a structured academic engaged-learning experience to undergraduate students where each student is monitored by the program’s academic staff. Not only do students gain hands-on experience in their field of study but many students go on to work for their co-op employers after graduation. Notable alumni include singer-songwriter Lee Brice and actor Rob Huebel. ",clemson-university,Public,Doctoral Universities: Very High Research Activity,16,37851540.0,85.0,79.0
99,Southern Methodist University,TX,A-,139000.0,13610,Suburban,large,"Southern Methodist University is a large, private research institution located in Dallas’s suburb of University Park. SMU is home to around 12,000 students and offers more than 90 undergraduate majors. Finance, economics, and accounting are some of the top majors at SMU. The Deason Innovation Gym is a 24/7 “makerspace” for aspiring student entrepreneurs and is stocked with 3D printers, laser cutters, and more. SMU operates on a budget of $843 million for fiscal year 2023. The university is eager to expand its research prowess, making plans to achieve the “Research One” (R1) status issued by the Carnegie Classification system. SMU supports more than 200 student clubs and organizations and students can participate in campus traditions that include a Celebration of Lights event, where students watch thousands of lights appear on campus, or SMU’s springtime festival, PerunaPalooza. The SMU Mustangs compete in a number of Division I American Athletic Conference sports. The Mustangs’ official mascot is Peruna, a Shetland pony that leads the football team onto the field for home games. Notable SMU alumni include former U.S. first lady Laura Bush, business billionaires Whitney Wolfe Herd, the founder of Bumble, and Indianapolis Colts owner James Irsay.",southern-methodist-university,Private not-for-profit,Doctoral Universities: High Research Activity,11,40715906.0,76.0,73.0
100,"California State University, Fullerton",CA,,118200.0,45855,Suburban,large,"California State University, Fullerton has the largest campus in the California State University system, with more than 40,000 students at the Fullerton campus alone. Cal State Fullerton offers over 100 degree programs across eight colleges. Popular majors include business, communications, and psychology. Cal State Fullerton champions diversity and inclusion, being officially recognized as both a Hispanic Serving Institution and an Asian American and Native American Pacific Islander Serving Institution in 2022. The university pays nearly $2 million in scholarships and awards each year. Cal State Fullerton hosts a number of activities, including Titan Athletics Division I sports, Greek chapters, and over 300 student organizations. It boasts a strong alumni network, with stars in film, music, and sports. Film director James Cameron and musician Gwen Stefani previously had ties to the university, along with alumna Kelsie Whitmore, who made history by becoming the first woman to play in the Atlantic League of the MLB for the Staten Island FerryHawks baseball team.",california-state-university-fullerton,Public,Doctoral Universities: High Research Activity,24,27773854.0,80.0,74.0
101,University of Richmond,VA,B,129800.0,4412,Urban,medium,"Located in Virginia’s capital city, the University of Richmond emphasizes hands-on experiences and a liberal arts education. The university offers over 60 undergraduate majors to a student body that totals nearly 3,900 students. Over half of the students were awarded $86 million in scholarships and institutional grants in its need-blind admissions process. Average undergraduate class sizes contain fewer than 20 students, and the university has an 8:1 undergraduate student-to-faculty ratio. Students can make the most of their college experience by exploring the state’s capital city and participating in outdoor activities on the James River. UR’s Richmond Spiders athletics is home to 17 Division I varsity sports teams and is the only university with a spider mascot. Students can also attend special campus events, including SpiderFest to connect with other students and organizations. Notable alumni include actor Jamie McShane, basketball coach Kevin Eastman, and former Virginia governor John Garland Pollard.",university-of-richmond,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,23099597.0,63.0,57.0
102,Vassar College,NY,B+,124100.0,2581,Suburban,small,"As a premier liberal arts school in the Hudson Valley region of New York, Vassar was originally founded as a women’s college in 1861 before becoming co-ed in 1969. Vassar offers around 50 majors and over 1,000 courses across 30 departments. The university has an average class size of around 17 students with an 8:1 student-to-faculty ratio. Of the 2,430 students, 97% of them live on campus, where housing is guaranteed for all four years. Vassar College awards over $70 million in scholarships each year, thanks to university-generated financials, including endowments, fundraising efforts, and other gifts. Vassar prides itself on being an academic pioneer, being the world’s oldest college with a cognitive science major. It was also among the first to offer drama, psychology, and Russian classes. Much of Vassar’s 1,000-acre campus is occupied by the Farm and Ecological Preserve which features hiking trails, ponds, and wildlife. The Vassar library system contains over a million volumes and boasts the iconic Thompson Library, a stunning Gothic building with stained glass windows. Many Vassar graduates go on to thrive in the arts, including poet Edna St. Vincent Millay, along with actors Meryl Streep, and Anne Hathaway.",vassar-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,7,19324309.0,64.0,57.0
103,College of the Holy Cross,MA,B+,138100.0,3323,Urban,medium,"The oldest Catholic college in New England, the College of the Holy Cross offers a liberal arts education rooted in Jesuit values. Founded in 1843, the highly selective school has just over 3,200 full-time students. With around 60 academic programs offered at the College of the Holy Cross, some of the most popular majors have been economics, political science, and psychology. Holy Cross meets 100% of demonstrated financial need and awards a full tuition grant to students whose families earn an income of $75,000 or less. A residential college, 87% of students live on campus and all first-year students participate in “Montserrat,” a living-learning program that combines engagement, on-campus communities, and an introduction to liberal arts. Holy Cross hosts more than 100 student organizations that include academic, sports, and service-related activities. Mass is celebrated regularly and there are weekly interdenominational services. College traditions include midnight breakfast, Purple Pride Day, and a spring concert with past musical performances by rapper Drake, singer Jessie J, and rapper Lupe Fiasco. Holy Cross alumni include Dr. Anthony Fauci, former chief medical advisor to President Joe Biden and Supreme Court Justice Clarence Thomas.",college-of-the-holy-cross,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,19411370.0,72.0,60.0
104,"University of Colorado, Boulder",CO,,136500.0,43746,Urban,large,"The University of Colorado Boulder is a public research university located in Boulder, Colorado with surrounding areas that are perfect for outdoor student activities. Outdoor Pursuits is a resource where students can go on trips and participate in courses that are located throughout the entire state. These include avalanche courses and winter activities, fly fishing, hiking and backpacking trips, incoming student trips, kayaking, scuba courses, wilderness medicine and more. Catalyze CU is a summer-long startup accelerator program that is designed for ventures created by students, faculty and staff. Through mentorship, funding, and a co-working space students can explore product development, sales and marketing, and prototyping with equity-free funding, dedicated office space and founder stipends. Delving further into entrepreneurship endeavors, the New Venture Challenge connects the CU Boulder campus with the Boulder community to fund startup teams who learn to refine their ideas and pitch for funding at the NVC Finals. Noteworthy alumni include actors Jonah Hill and Christopher Meloni, entrepreneur Steve Wozniak, and NBA player Derrick White. ",university-of-colorado-at-boulder,Public,Doctoral Universities: Very High Research Activity,18,39917770.0,68.0,57.0
105,Brandeis University,MA,B,153600.0,6026,Urban,medium,"Brandeis University is a private research institution with a liberal arts focus in Waltham/Boston, Massachusetts. The campus is located on 235-acres and the residence and community unite through events such as the Festival of the Arts, a campus wide event to celebrate the creativity of students, faculty and staff, and distinguished guest artists. Free pizza at midnight during finals and intramural sports such as bubble soccer, water battleship, and pickleball foster a sense of unity and excitement outside of the classroom. The Hiatt Career Center on campus is there to help all students whether you are a first-year student still weighing what majors are a good fit for you or a senior ready to complete job applications. The Rise Together Mentor Network is a virtual space where Brandeis students can practice networking skills and connect with alumni mentors. Light the Night is an annual first-year tradition to close out the first day of New Undergraduate Student Orientation; students are given blue lanterns and write down a hope or dream for their time at Brandeis. Afterwards, the freshmen share their first dinner together on the Great Lawn. Other traditions include Springfest with an annual concert held on Chapels Field the weekend before final exams. Notable alumni include businessman Jeffrey Lurie, actress Debra Messing, actor Tony Goldwyn, and philosopher and author Angela Davis. ",brandeis-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,20341071.0,68.0,64.0
106,University of San Diego,CA,B-,139000.0,10021,Urban,large,"The University of San Diego has sunshine nearly all year and students can catch a wave in the morning, drive a few hours to ski in the snow, or head to the desert for the evening. Located on 180 acres that overlook the city of San Diego, California’s second-largest city, Mission Bay and the Pacific Ocean, undergraduate students can choose from 43 bachelor’s degrees with many concentrations and 56 minors. Off campus, students can explore San Diego that is home to music, theaters and arts, esteemed beaches, and the Tony-Award-winning Old Globe Theatre. Every Friday, students, faculty and staff wear their Torero Blue to show school spirit and give support to the athletic teams that are playing that weekend. Homecoming and reunion weekend is a Torero tradition each fall that reunites thousands of alumni and students for tailgating, class reunions, and a football game. Each year fraternities and sororities come together for friendly competition during Greek Week where events and activities raise money to a charity of their choosing. Each semester, the night before finals, the Student Alumni Association and alumni volunteers treat students to a free buffet at the Degheri Alumni Center. Noteworthy alumni include actors Chris Bauer and Jim Parsons, chairperson of Station Casinos Lorenzo Fertitta, Mayor of San Diego Todd Gloria and executive Theo Epstein. ",university-of-san-diego,Private not-for-profit,Doctoral Universities: High Research Activity,13,35060582.0,84.0,83.0
107,University of South Florida,FL,,110100.0,58826,Urban,large,"Within the heart of Tampa Bay lies the University of South Florida, a large public research university of around 50,000 total students across USF’s three campuses. Undergraduates can choose from around 200 degree programs across 14 colleges, with popular programs in the health professions, business, and social sciences. In 2023, USF became a member of the Association of American Universities, an organization that comprises around 70 of the leading research universities in the U.S. and Canada— making USF the first public university in the state to receive an invitation in nearly 40 years. The university has also been recognized by the Carnegie Foundation for its research efforts. Students build community through the university’s 600+ clubs and organizations or by taking part in USF sporting events. The South Florida Bulls compete in more than 15 NCAA Division I sport teams, and students get free admission to games. Campus traditions allow students to display school pride at events like USF Week to celebrate the school’s history. USF Week festivities include the Ultimate Bull Talent Show, a University Lecture Series, and a birthday celebration for Rocky, the school’s bull mascot. ",university-of-south-florida,Public,Doctoral Universities: Very High Research Activity,22,58615942.0,90.0,87.0
108,Syracuse University,NY,B-,130100.0,37114,Urban,large,"Syracuse University is a private institution located on a hilltop that overlooks the town of Syracuse, New York. Year-round festivals, expos and installations, and athletic events will unite the student body. The Schine and Goldstein student centers are hubs for students to relax, study, meet and enjoy various dining options. The Coalitions of Museum and Art Centers at Syracuse University showcase the community’s talent with exhibitions, public presentations, education and scholarship. With over 300 student organizations, the student-run media culture allows aspiring journalists to report, edit and write for The Daily Orange, CitrusTV, Orange Television Network and more. Students can also sing with The Mandarins, Otto Tunes or one of the five other student a cappella groups or join a fraternity or sorority to form a community of their own. For over 40 years, Syracuse students have been dressing up as the official mascot Otto the Orange. Although you may see Otto at the stadium for games or scootering across campus, these students are sworn to secrecy until the end of senior year when they can reveal their identities. Notable alumni include President Joe Biden, former professional basketball player Carmelo Anthony, sports commentator Bob Costas, and Governor of New York Kathy Hochul. ",syracuse-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,99763621.0,79.0,77.0
109,"Arizona State University, Tempe",AZ,,118000.0,85163,Urban,large,"Downtown Tempe, Ariz. is home to Arizona State University, a large institution that combines the city’s rich culture with learning and research opportunities. The public research university has a history dating back to 1885, nearly 30 years before Arizona officially became a state. The university has more than 400 undergraduate programs, with popular programs in business, finance, and biological sciences. ASU houses the prestigious Cronkite School of Journalism and Mass Communication and operates Arizona PBS—the largest media outlet run by a journalism school in the world. Known for its research, ASU had $760 million in total research expenditures in fiscal year 2022. The NCAA Division I Sun Devils have raked in over 270 national and conference titles. Year-long traditions often include wearing gold every Friday, along with ASU’s gameday student section, the Inferno. Notable alumni include late-night host Jimmy Kimmel, basketball star James Harden, and the late fashion designer Kate Spade. ",arizona-state-university,Public,Doctoral Universities: Very High Research Activity,19,154697225.0,93.0,89.0
110,University of Central Florida,FL,,105500.0,82075,Suburban,large,"The University of Central Florida in Orlando is one of the largest universities in the country with over 68,000 students. A public research university, UCF offers more than 240 degree programs across 13 colleges with popular majors in psychology, computer science, and biology. A research-heavy institution, the university has been recognized by the Carnegie Foundation for its high levels of research activity, and UCF generated more than $200 million in sponsored research funding in 2022. The strength of UCF’s diversity and inclusion is reflected in its Fall 2022 admissions demographics, where nearly half of all students were minorities. Students can connect with one another through more than 650 student organizations and clubs on campus, including a number of Greek life chapters and intramural sports. The UCF Knights compete at the Division I level and play in the American Athletic Conference. The Friday before every homecoming game, students hold the university’s largest pep rally (“Spirit Splash”) at the reflecting pond. Other gameday traditions include the Knight Walk to welcome the UCF Knights football team to the stadium and turning on cell phone flashlights during Knight Lights.",university-of-central-florida,Public,Doctoral Universities: Very High Research Activity,29,62649942.0,96.0,93.0
111,Colorado College,CO,B+,121800.0,2472,Urban,small,"Colorado College is a private liberal arts college located in Colorado Springs, Colorado and expands through the Rocky Mountain West. The school uses a block plan where students must take one class at a time for 3 and a half weeks to allow for deep exploration, and time for clubs, internships, work, athletics, community service, and adjuncts. Block breaks are four days where students can relax and step off campus to hike, or explore sand dunes, forests, and canyons. The community consists of about 2,000 students who can apply for a Venture Grant to travel to India and research the impacts of tourism, join the Outdoor Recreation Committee and lead a canyoneering trip in Utah, study the stars, swing into ballroom dance and more. Notable alumni include former Second Lady of the United States Lynne Cheney, United States Ambassador to Mexico Ken Salazar, and American economist James Heckman. ",colorado-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,10,15325165.0,57.0,54.0
112,University of Arizona,AZ,,119300.0,54374,Urban,large,"The University of Arizona embodies a rich history dating back to 1885—27 years before Arizona became a state. The public research institution in Tucson, AZ has more than 40,000 students and offers more than 300 majors to students. Popular programs include business, biology, and engineering. A leader in space science and exploration, UA works closely with NASA, ​​ranking number 5 in NASA-funded activity among public universities. Total research expenditures reached $824 million in 2022. For students looking to study abroad, UA hosts programs in Italy, Indonesia, Peru, Mauritius, Korea, and Cambodia. UA offers generous financial assistance, with nine out of 10 students receiving financial aid. A Hispanic-serving institution, UA champions diversity and students can enrich their collegiate experience through more than 400 clubs and organizations. UA’s prominent alumni span numerous industries, including NBA head coach Steve Kerr, actress Kristen Wiig, media personality Kourtney Kardashian and numerous astronauts.",university-of-arizona,Public,Doctoral Universities: Very High Research Activity,17,89751309.0,98.0,98.0
113,"University of Oklahoma, Norman",OK,,116700.0,31604,Suburban,large,"The University of Oklahoma is the flagship institution of Oklahoma’s public university system. Located in Norman, Okla., the public research institution was founded 17 years before Oklahoma’s official statehood. ​​The University of Oklahoma offers more than 170 academic programs, with meteorology, entrepreneurship, and journalism being among the most popular majors. Heavily driven by research, OU has achieved the highest tier of research activity classification from the Carnegie Foundation and its Norman campus reported over $257 million in research expenditures in 2022. OU’s undergraduate student population of more than 21,000 can stay involved through 400+ student organizations. The Oklahoma Sooners compete at the NCAA Division 1 level in the Southeastern Conference. Notable OU alumni include NBA star Blake Griffin, actress Olivia Munn, and former NASA astronaut Fred Haise—a pilot for the Apollo 13 space mission.",university-of-oklahoma,Public,Doctoral Universities: Very High Research Activity,16,40542823.0,99.0,98.0
