rank,name,zip code_forbes,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant,school_name_clean,School,zip code_myplan,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score,Zip Code,School Name,City,State,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Type
129,dickinson college,17013,PA,B,115700.0,2249,Urban,small,"Dickinson College in Carlisle, Pa., is a private liberal arts college that equips students with global and sustainable perspectives. Chartered in 1783, Dickinson is the 16th-oldest college in the country. Of the college’s 46 majors, international business, political science and biochemistry are the most popular. Average class sizes contain less than 20 students. Dickinson presents a number of opportunities for students to expand their knowledge through research, internships, service-learning or field-experience courses—of which, 92% of students participate. Two-thirds of students study abroad during their time at Dickinson. The college is home to more than 100 student groups to deepen campus involvement. The Red Devils play in 25 NCAA Division III teams, where more than 230 Dickinson student-athletes have been named All-American. One of the most important campus rituals is the signing in/ signing out ceremony, where new students sign into the college during Convocation, and again when it's time to graduate. Longstanding football rivalries against the Franklin & Marshall Diplomats and the Gettysburg College Bullets also add to the college’s campus culture. Dickinson College has produced a U.S. president—James Buchanan—and gave way to several supreme court justices and other prominent figures.",dickinson-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,25037902,94,94,dickinson college,dickinson college,17013,67.3,81.0,80.7,75.3,84.0,66.7,85.3,77.19,17013,dickinson college,carlisle,PA,13.0,9906.0,,0.4308,0.870090634441,,32191.0,80329.0,19000.0,69231.0,58100.0,Private
20,duke university,27708,NC,A+,158700.0,18357,Urban,large,"Duke University holds both academic and athletic merit for students enrolled at its campus in Durham, NC. Top majors at the university include computer science, economics, and public policy from Duke’s 10 schools & colleges. Graduate students vastly outnumber undergraduate students, accounting for more than half of the total student population in 2022. Beginning in Fall 2023, Duke announced that it would expand its financial assistance efforts by providing undergraduate students from North and South Carolina with full tuition coverage for families making less than $150,000. Just over half of Duke undergraduates pay less than the full cost of attendance and provide more than $130 million in grant aid every year. Equally noteworthy is the Duke’s Blue Devils athletics which represents top talent from Division I levels, including the NCAA and Atlantic Coast Conference. Tradition has it that students camp outside of Cameron Indoor Stadium to secure seats to men's basketball games in tents on an encampment known as “K-ville.” Notable Duke alumni include former U.S. President Richard Nixon, Apple CEO Tim Cook, and billionaire philanthropist Melinda French Gates.",duke-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,42566173,57,42,duke university,duke university,27708,89.5,71.4,87.8,58.0,66.7,55.1,82.7,73.03,27708,duke university,durham,NC,11.0,18621.0,1539.0,0.0678,0.937165775401,,34454.0,82749.0,13000.0,95882.0,103200.0,Private
159,elon university,27244,NC,B-,110100.0,7446,Suburban,medium,"Elon University is a private institution in central North Carolina. Founded in 1889, its 690-acre campus is home to more than 7,000 students. Elon offers more than 70 undergraduate majors across six schools, with popular studies in arts & sciences, business, and communications. Students are exposed to a wealth of additional learning opportunities that include internships, study abroad programs and undergraduate research opportunities—which can count for college credit. Its student body is rich in cultural diversity, where students hail from nearly every state and more than 50 countries. Students seeking involvement can choose from more than 200 organizations, including Greek chapters. The Elon University Phoenix fields 17 intercollegiate teams that compete at the Division I level, along with 18 intramural sports and 26 club sports. New students sign the university’s Honor Code as they officially become part of the community. At graduation, all Elon students receive an oak sapling to plant, marking the beginning of a new chapter. Notable alumni include The Daily Show writer Rich Blomquist and film producer Kenneth Utt.",elon-university,Private not-for-profit,Doctoral/Professional Universities,11,15115584,73,68,elon university,elon university,27244,58.3,87.5,67.9,83.3,85.7,66.7,89.3,76.96,27244,elon university,elon,NC,22.0,10112.0,1222.0,0.6731,0.73570324575,,41048.0,59369.0,20500.0,65954.0,52800.0,Private
33,emory university,30322,GA,A,138600.0,15926,Urban,large,"This private research university is located in Atlanta, Georgia was founded in 1836 and was named in honor of Methodist bishop John Emory. Emory is recognized for its liberal arts colleges and has some of the top leaders in the health and health sciences industry to drive change not just locally but globally. The Emory Global Health Institute has partnered with local communities and governments globally to implement life saving initiatives through research, partnerships, scholarship, and training. Emory allows students to pave their own paths as new passions and curiosities arise. The liberal arts curriculum encourages students to create their own academic paths by combining unrelated studies or exploring new ways to problem solve. The Emory Student Center is a central space on campus where students have access to a high-tech gaming and recreation lounge, a coffee shop, spaces for studying or socializing, and  The Dobbs Common Table that seats about 770 guests and has 10 restaurant-style food stations. Emory Alumni include American jurist and former Chief Justice of the Supreme Court of Georgia Leah Ward Sears and CEO of KBG Technologies Kathy Gibson. ",emory-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,37125884,56,51,emory university,emory university,30322,84.3,66.2,85.3,83.3,72.9,62.5,77.5,76.0,30322,emory university,atlanta,GA,11.0,16158.0,1507.0,0.111,0.876,,23911.0,78814.0,18250.0,80270.0,72300.0,Private
247,florida gulf coast university,33965,FL,,102600.0,18185,Suburban,large,"Dating back to 1991, Florida Gulf Coast is a large public university in Fort Myers, FL, and the second youngest member of the State University of Florida system. FGCU has kept tuition flat for seven years. 73% of students receive some form of financial aid, including $30 million in scholarships every year, and 52% of graduates leave with no debt. Undergraduates at FGCU can choose from 63 majors, with pre-professional programs in digital media design, legal studies and music therapy. The school’s 800 acre campus includes 350 acres of preserved Florida wetlands and a 15-acre solar energy field. The “Wings of Hope” program partners the school with local elementary school students to teach them about Florida’s natural ecosystems. 82% of the class of 2019 was employed a year after graduating. ",florida-gulf-coast-university,Public,Doctoral/Professional Universities,20,15961053,82,72,florida gulf coast university,florida gulf coast university,33965,48.1,64.8,67.3,77.8,70.0,64.8,71.6,66.34,33965,florida gulf coast university,fort myers,FL,21.0,9321.0,1120.0,0.7675,0.46740373618,10319.0,,18269.0,17622.0,49680.0,44000.0,Public
138,florida international university,33199,FL,,106900.0,71842,Suburban,large,"One of the largest schools in the nation, Florida International University is a public research institution located in suburban Miami-Dade County. With over 58,000 students, the university offers more than 190 degree options across 11 schools and colleges. FIU’s diversity is represented through its student body, with over 60% of the student body being Hispanic. The university’s research department achieved R1 Carnegie Classification for research activity and reported over $281 million in research expenditures for fiscal year 2022. In 2023, Dr. Kenneth A. Jessell was sworn in as the university’s sixth president. Enrolled students—called Panthers—deepen their campus bond through one of the more than 300 clubs and organizations, sports clubs, and nearly 30 fraternities & sororities. Hundreds of student-athletes compete in 17 Division I sports. Trail of the Torch is considered FIU’s biggest tradition, where a campus-wide candlelight procession leads to the lighting of the official FIU torch. Students then gather to meet the football team, the marching band, cheerleaders, and more—a tradition that has been held for nearly 20 years. Notable FIU alumni include actor Andy Garcia and former Congresswoman Ileana Ros-Lehtinen.",florida-international-university,Public,Doctoral Universities: Very High Research Activity,24,28327469,91,89,florida international university,florida international university,33199,65.3,69.0,77.3,69.3,68.7,58.0,74.0,68.8,33199,florida international university,miami,FL,21.0,11232.0,1154.0,0.5884,0.517317380353,9133.0,,20556.0,16500.0,54465.0,46000.0,Public
65,florida state university,32306,FL,,111900.0,51109,Urban,large,"Situated on the oldest continuous site of higher education in the state, Florida State University in Tallahassee has deep roots in its 172-year history. As a public research institution, Florida State University boasts a large student body of around 45,000 students and offers more than 280 degree programs with popular majors in psychology, finance, and criminal justice. The university prides itself on its research achievements, being recognized by Carnegie Commission for its high research activity. FSU operates on a budget of $1.95 billion and reported more than $355 million in research expenditures for fiscal year 2022. No stranger to innovation, FSU houses the National High Magnetic Field Laboratory, which holds the most powerful magnets on earth. Students at FSU’s main campus benefit from being in the heart of Florida’s capital and stay involved through over 650 recognized student organizations. An equally athletic university, the FSU Seminoles compete in 18 Division I teams in the NCAA Atlantic Coast Conference. Upon graduation, students automatically become members of the FSU Alumni Association and as of 2023 will not have to pay membership dues.",florida-state-university,Public,Doctoral Universities: Very High Research Activity,17,67622352,93,89,florida state university,florida state university,32306,69.0,75.9,74.1,73.3,64.5,58.3,73.8,69.84,32306,florida state university,tallahassee,FL,12.0,12781.0,1323.0,0.2538,0.729898804048,10997.0,,23683.0,18000.0,55983.0,48200.0,Public
118,fordham university,10458,NY,C-,138500.0,19240,Urban,large,"Known for its prestigious business programs, Fordham University is a private Jesuit university that operates three campuses in The Bronx, Manhattan and Westchester County, N.Y. Fordham offers more than 70 undergraduate programs across its campuses, with some of the most popular majors being business administration, public accounting and finance. Fordham is recognized for its high research activity by the Carnegie Foundation. The vast majority of undergraduates complete an internship while attending Fordham. The school has a strong partnership with surrounding businesses, and more than 3,000 New York City-based companies have employed Fordham interns. There are more than 130 student organizations at Fordham’s main Bronx campus and close to half that at its Manhattan satellite. The Fordham University Rams have more than 20 varsity NCAA Division I teams and are members of the Atlantic 10 Conference, Mid-Atlantic Conference, and the Patriot League. A wealth of notable alumni stem from Fordham. Oscar-winning actor Denzel Washington, singer-songwriter Lana Del Rey, and actress Amanda Seyfried all attended the university.",fordham-university,Private not-for-profit,Doctoral Universities: High Research Activity,14,90608630,96,96,fordham university,fordham university,10458,77.4,83.9,75.0,51.2,75.0,53.6,76.2,70.33,10458,fordham university,bronx,NY,11.0,15544.0,1412.0,0.5628,0.786666666667,,42581.0,77351.0,24300.0,75002.0,60200.0,Private
240,franklin and marshall college,17603,PA,B-,144300.0,2198,Urban,small,"Franklin and Marshall College in Lancaster, Pa. is a private liberal arts college and one of the oldest institutions of higher learning in the country. Named after Benjamin Franklin and Supreme Court Chief Justice John Marshall, the college has more than 2,400 undergraduate students. F&M offers 60 fields of study with class sizes averaging less than 20 students. Popular majors include political science, business, and multi/ interdisciplinary studies. F&M encourages research involvement and 65% of students are in research or other faculty-led initiatives. Half of all students study off-campus before graduating, taking advantage of F&M’s 200 off-campus programs in 60 different countries. A handful of first-year students have the opportunity to study at F&M’s Bath, England campus for 16 weeks to build upon academic and cultural experiences through F&M’s Advanced Studies in England (ASE). The college hosts more than 100 student-run clubs and organizations and sponsors over 25 intercollegiate athletic teams, where nearly 30% of students participate in varsity sports. The Diplomats have plenty of beloved traditions that include a Senior Bonfire, a “FlapJack Fest” which serves breakfast during finals week, and the historic rivalry against Dickinson College’s Red Devils for the coveted Conestoga Wagon Trophy. Notable alumni include former New Jersey Attorney General Paula Dow, former White House political director Ken Mehlman, and the late Ken Duberstein, former White House chief of staff under the Reagan administration.",franklin-and-marshall-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,15884114,71,63,franklin and marshall college,franklin and marshall college,17603,65.5,69.6,69.0,73.8,82.1,70.2,70.2,71.49,17604,franklin and marshall college,lancaster,PA,13.0,11449.0,1394.0,0.3183,0.8,,39061.0,83184.0,19000.0,64068.0,55700.0,Private
149,furman university,29613,SC,B,121000.0,2540,Suburban,small,"The oldest private university in South Carolina, Furman is known for its beautiful campus and unique academic experience. Boasting a tight-knit community of about 2,500 students, Furman provides them with a curriculum of 50 undergraduate majors and 15 minors. Many students study business, communications, and political science. More than 90% of students partake in engaged learning experiences that range from summer research fellowships to student conferences. Through the university’s “Furman Advantage,” all students are guaranteed access to study away, internship and research opportunities. Students represent all walks of life, coming from 44 states and 43 countries. Since the 1960s, Furman has had a history of championing diversity and inclusion, desegregating the university during the height of the Civil Rights movement. In 1968, Joseph Vaughn became the first Black student to graduate from the school. Decades later, Furman continues to foster the spirit of inclusivity through more than 160 student organizations. The Paladins compete at the Division I level and are members of the Southern Conference. Entering students mark the start of their Furman journey by walking along the campus's tree-lined mall, and upon graduating, students exit that same tree-lined path. Other traditions have featured events like the homecoming carnival, and celebrating seniors’ last day of class by swimming in the campus fountains, complete with pool floats. Notable Furman University alumni include Lay’s founder Herman Lay, author George Singleton and Kabbage founder Kathryn Petralia. ",furman-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,23722364,100,100,furman university,furman university,29613,63.6,77.5,56.1,83.3,80.3,53.0,80.3,70.59,29613,furman university,greenville,SC,21.0,10403.0,1364.0,0.5257,0.680981595092,,29997.0,73760.0,23250.0,57288.0,50500.0,Private
32,georgetown university,20057,DC,B,163400.0,23948,Urban,large,"Located on a hilltop in Washington D.C, the private school Georgetown University offers students a campus and city lifestyle. Just a short metro ride away, students can find themselves in an international city that is home to more than 170 embassies, and landmarks such as the Smothsonian museums, the Library of Congress and more. 1 in 10 undergraduate students at Georgetown are college athletes and there are 30 Division 1 teams on campus. While at the Capital One Arena, for Hoya Basketball games, students will see Jack the Bulldog, Georgetown’s live mascot. Next to Jack, there will be a member of Jack’s Crew, a club on campus where students assist in the day-to-day care and training of Georgetown’s bulldog mascot. If students wish to start a club outside of the 350 clubs that Georgetown currently offers, they have the option to start their own club through the Center for Student Engagement. At Georgetown, students are welcome to utilize opportunities outside of the classroom by engaging in real-world problem-solving through internships on Capitol Hill or with federal agencies, nonprofits, tech and media organizations, and more. Noteworthy alumni include former United States president and politician Bill Clinton, the late Supreme Court Justice Antonin Scalia and American actor Bradley Cooper.",georgetown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,24536568,45,34,georgetown university,georgetown university,20057,86.7,78.6,71.4,62.2,65.6,52.4,79.8,70.96,20057,georgetown university,washington,DC,11.0,17306.0,1494.0,0.1308,0.884561891516,,39433.0,84696.0,15500.0,88766.0,101400.0,Private
38,georgia institute of technology,30332,GA,,163500.0,52051,Urban,large,"Georgia Tech’s main campus is located in Atlanta, Georgia and offers majors and degrees through the colleges of Design, Computing, Engineering, Sciences, the Scheller College of Business, and the Ivan Allen College of Liberal Arts. The Georgia Tech Research Institute is annually awarded with nearly $1.3 billion to develop leaders who conduct research to advance technology globally. Campus traditions include the “Ramblin’ Wreck” fight song and The Whistle, which mimics an industrial whistle, blows five minutes to the hour to end classes on certain days of the week and blows after Tech touchdowns during home games. Buzz made his first campus appearance in 1980 and is the mascot of the Georgia Tech Yellow Jackets. The Week of Welcome is Tech’s orientation week where new students learn about campus traditions. Noteworthy alumni include female American astronaut Jan Davis, the 39th U.S. President Jimmy Carter, former professional NBA player Chris Bosh, and American Engineer Dean Kamen. ",georgia-institute-of-technology-main-campus,Public,Doctoral Universities: Very High Research Activity,19,34112479,73,71,georgia institute of technology,georgia institute of technology,30332,88.9,78.4,80.6,61.5,52.0,57.7,60.4,68.5,30332,georgia institute of technology,atlanta,GA,11.0,15224.0,1447.0,0.1646,0.597126795753,13289.0,,27797.0,21672.0,94647.0,73200.0,Public
153,gonzaga university,99258,WA,B-,133500.0,8229,Urban,medium,"Gonzaga is a private Jesuit, liberal arts university in Spokane, Washington, known for its competitive basketball program and moral outlook. More than 7,000 students were enrolled in Fall 2022. All Gonzaga students complete a core curriculum based on Jesuit and humanistic principles, taking courses in the philosophy of human nature and Christianity and Catholic traditions. Through the Gonzaga Access Pledge, Pell Grant-eligible Washington residents attend Gonzaga tuition free. Gonzaga is perhaps best known for its elite men’s basketball team, who compete as the Bulldogs and are cheered on by the student section, appropriately known as the “Kennel Club.” ",gonzaga-university,Private not-for-profit,Doctoral/Professional Universities,12,36102082,100,100,gonzaga university,gonzaga university,99258,50.0,75.0,50.0,75.0,77.1,50.0,66.7,63.4,99258,gonzaga university,spokane,WA,12.0,10610.0,1316.0,0.7596,0.808870116156,,36371.0,69290.0,24454.0,76082.0,54800.0,Private
81,grinnell college,50112,IA,A,121900.0,1787,Rural,small,"Grinnell College is a private liberal arts and sciences college in Grinnell, Iowa that provides individually focused and advised learning with a 9:1 student-faculty ratio, over 500 course offerings every year, and degrees in 28 fields with 17 concentrations. The First-Year Experience is a required course for freshmen to engage in discussions about personal sustainability, respect, and using resources on campus. Driven by curiosity, Mentored Advanced Projects is an academic opportunity to conduct advanced research or producing an original creative work where professors may invite students to join in on their ongoing research or you ask a professor to mentor you through a research project of your choice.",grinnell-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,18116952,91,91,grinnell college,grinnell college,50112,55.0,72.5,66.7,85.0,81.7,55.0,70.0,69.41,50112,grinnell college,grinnell,IA,33.0,12177.0,1486.0,0.1268,0.857740585774,,15608.0,79228.0,17500.0,58562.0,45800.0,Private
232,gustavus adolphus college,56082,MN,B+,118900.0,2265,Rural,small,"Gustavus Adolphus is a liberal arts college spanning 240 acres in Saint Peter, MN. The school values its Swedish American heritage and Lutheran affiliation, and aims to teach students the values of community, justice, service, and faith. Students can choose from 72 majors, the most popular being business, psychology and biology. About 40% of students participate in one of the college’s fine arts programs. Each year, over 75% of students participate in service programs. U.S. and permanent residents who are accepted to Gustavus are automatically considered for various merit scholarships of up to $32,000. More than 90% of students receive some form of financial aid. There are about 120 interest groups and organizations for students to take part in, including four fraternity and four sorority chapters.",gustavus-adolphus-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,16994555,95,94,gustavus adolphus college,gustavus adolphus college,56082,56.9,68.8,65.3,81.9,81.9,48.6,76.4,68.54,56082,gustavus adolphus college,saint peter,MN,31.0,8083.0,1320.0,0.618,0.758985200846,,26895.0,65976.0,26774.0,57206.0,48400.0,Private
66,hamilton college,13323,NY,A+,125400.0,2133,Suburban,small,"Established on the hilltops of Clinton, New York, Hamilton College’s 1,350-acre campus overlooks surrounding areas and is named after U.S. founding father Alexander Hamilton. Founded in 1793, the private liberal arts school is the third oldest college in New York State. Admissions revealed an acceptance rate of less than 12 percent for the class of 2026, with 86 percent of students ranked among the top of their high school class. Hamilton offers 44 majors and 57 areas of study with the most popular majors including economics, math, and research & experimental psychology. While Hamilton only has about 2,000 enrolled students, students can take advantage of small class sizes with the school’s 9:1 student-faculty ratio, and the majority of classes have fewer than 20 students. Hamilton is committed to making necessary financial provisions for students through its financial aid promise, with approximately half of the students utilizing financial aid. When students aren’t studying, they can participate in campus events including “Feb Fest,” where students can compete in snow sculpture contests and chili cook-offs. If the cold isn’t your thing, then the HamTrek sprint triathlon takes place during the last weekend of spring classes, where students can swim, bike, and run a 5k to victory. ",hamilton-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,15066779,59,54,hamilton college,hamilton college,13323,,,,,,,83.3,83.3,13323,hamilton college,clinton,NY,22.0,12310.0,1487.0,0.1177,0.91341991342,,28314.0,80380.0,17000.0,74462.0,59800.0,Private
8,harvard university,2138,MA,A,171400.0,39374,Urban,large,"Harvard University is the oldest institution of higher learning in the United States with a history that dates back to 1636. Located in Cambridge, Massachusetts, the Ivy League university has been considered the gold standard of higher education throughout its 387-year history. With an admit rate of only 3.2 percent for the class of 2026, competition continues to run high. Harvard offers degrees from its 13 schools for undergraduate and graduate students, along with professional learning opportunities through its executive education, certificate programs, and online courses. In addition to the main campus in Cambridge, Harvard has locations in Allston and Boston, Mass. Despite the increasing cost to attend, Harvard announced it would expand financial aid for the 2023-24 academic year for families making up to $85,000 annually. Thanks to the expansion, families will not have to fund tuition, room, or board. Students can engage in campus life through volunteer activities, and cultural celebrations and participate in the longstanding rivalry against Yale known as “The Game.” The university has produced a wide range of successful alumni, including eight U.S. presidents, over 20 tech moguls, and nearly 30 billionaire alumni.",harvard-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,7,67610733,72,56,harvard university,harvard university,2138,91.3,81.3,86.3,72.2,53.0,60.4,82.6,75.3,2138,harvard university,cambridge,MA,12.0,23783.0,1553.0,0.0345,0.773694390716,,16816.0,82842.0,14000.0,101095.0,123700.0,Private
184,harvey mudd college,91711,CA,B+,179600.0,981,Suburban,small,"Harvey Mudd College is a private liberal arts college in Claremont, California that is focused on science and engineering. Harvey Mudd has 25 student-led organizations and the Division of Student Affairs is responsible for new student orientation, commencement and other programs in between. The Academic Resources and Student Success office offers one-on-one meetings for coaching and personalized support and workshops on time management and study techniques. The DSA Muchachos are a group of students who plan events throughout the year such as crib races, battle tie-dye and Wednesday Nighters. Crib races are when a team of students race through an obstacle course while taking care of their baby which is another student. Wednesday Nighter is a mid-week break where students can enjoy donuts and a show. The prank club collective where students have previously posed as a construction crew to steal CalTech’s famous cannon and transported it back to Harvey Mudd’s campus. Notable alumni include computer scientist Donald D. Chamberlin, astronaut Stanley G. Love, and software developer Tom Preston-Werner. ",harvey-mudd-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,5467797,72,57,harvey mudd college,harvey mudd college,91711,77.4,82.1,81.0,85.7,91.7,79.8,50.0,78.24,91711,harvey mudd college,claremont,CA,21.0,14751.0,1537.0,0.1306,0.907407407407,,32492.0,84896.0,25000.0,144598.0,99300.0,Private
260,hope college,49423,MI,C+,108000.0,3194,Urban,medium,"Hope College is a small private liberal arts school affiliated with the Reformed Church in America in Holland, MI. vHope is piloting a pay-it-forward tuition model this fall, with 22 students receiving free tuition thanks to a gift from a private donor. The program, called “Hope Forward,” aims to eventually provide free tuition to all students through alumni gifts. Through “Day 1 Research Communities”, freshmen at Hope can participate in lab or field research as soon as classes start.  Hope offers more than 90 majors, spanning from Accounting to Ministry. The Hope College Book Club connects the larger Hope community. The club reads a book every two months and is open to alumni, current students, staff, faculty and families.",hope-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,20775017,100,100,hope college,hope college,49423,55.6,72.2,66.7,72.9,75.9,72.2,66.7,68.89,49423,hope college,holland,MI,13.0,8562.0,1237.0,0.7585,0.776119402985,,25749.0,52206.0,26800.0,55768.0,43500.0,Private
254,illinois state university,61761,IL,,112700.0,22159,Suburban,large,"Illinois State University is a public university in Normal, Illinois. The university, which enrolled more than 20,000 students in Fall 2022, says it offers the benefits of both a small and large college. Illinois State offers a variety of academic programs, including majors in computer networking, game design, dance teacher education and sustainable and renewable energy. The university also offers professional pathway programs, including pre-law and pre-veterinary medicine. Pre-health options include pathways to dental medicine, physical therapy, pharmacy and optometry. For housing, the school offers a selection of themed living-learning communities, which allow students to live with people with shared interests, identities or courses of study. The Big Red Marching Machine community is for students in the marching band and the Rainbow Floor is designed for LGBTQ+ students and allies. Other communities include those for students studying education, music or business, respectively. ",illinois-state-university,Public,Doctoral Universities: High Research Activity,19,37843194,98,97,illinois state university,illinois state university,61761,56.7,65.0,62.2,65.6,80.0,68.9,60.0,65.49,61790,illinois state university,normal,IL,22.0,8906.0,1127.0,0.8901,0.644597701149,18996.0,,32458.0,20482.0,57276.0,46700.0,Public
92,indiana university bloomington,47405,IN,,117300.0,59231,Urban,large,"Indiana University-Bloomington is a public research university located in Bloomington, Indiana rich in campus traditions and student life activities. The school’s mascot is the Hoosier, school colors are cream and crimson, and school spirit is taken very seriously. Freshmen students learn the fight song and the Fists and Blades at the Traditions and Spirit kickoff event the first week on campus. Hoosier legend has it that if you need an A or good luck on your next exam, your wish will come true if you shake the hand of the Herman B Wells statue. The Little 500 is the largest collegiate bike race in the United States and is modeled after the Indianapolis 500. Teams of four ride laps around Armstrong Stadium while fans cheer them on; all of the money raised goes to student scholarships. Notable alumni include former United States Secretary of Defense Robert Gates, basketball coach Michael Woodson, American-British internet entrepreneur Jimmy Wales, and television anchor Sage Steele.",indiana-university-bloomington,Public,Doctoral Universities: Very High Research Activity,17,72479201,83,74,indiana university bloomington,indiana university bloomington,47405,74.5,75.4,85.0,76.9,59.8,53.8,91.0,73.77,47405,indiana university bloomington,bloomington,IN,13.0,11599.0,1308.0,0.8037,0.653023824068,15342.0,,27361.0,19509.0,59525.0,50300.0,Public
154,iowa state university,50011,IA,,118800.0,33010,Urban,large,"Iowa State University is a public land-grant research university in Ames, Iowa, about 40 minutes from the state’s capital city of Des Moines. Iowa State offers more than 100 majors in six undergraduate colleges. While mechanical engineering has been the most popular major, many students also take up marketing, agriculture, and exercise science. Iowa State describes itself as having “a large university with a small feel,” which is often reflected through its learning communities. Within those communities, students combine academics with social life, and more than 90% of first-year students participate in the communities. The university also offers a number of research and study-abroad opportunities. Iowa State has more than 900 student clubs, including unique groups like the rodeo club and an amphibian and reptile interest club. The Cyclones compete at the Division I level and are members of the Big 12 Conference. Iowa State lore features the “Zodiac curse,” which is said to extend bad luck if one steps on the floor’s bronze symbol. There is always a pair of swans named Lancelot and Elaine near campus—a tradition held since 1935. Historical figures like George Washington Carver, former vice president Henry A. Wallace, and women's suffrage activist Carrie Chapman Catt all attended Iowa State University.",iowa-state-university,Public,Doctoral Universities: Very High Research Activity,18,46876441,89,80,iowa state university,iowa state university,50011,65.0,72.6,72.1,80.9,56.1,52.4,76.8,67.99,50011,iowa state university,ames,IA,13.0,12403.0,1199.0,0.8913,0.657633242999,18165.0,,23309.0,22869.0,59021.0,49300.0,Public
136,james madison university,22807,VA,,125700.0,24028,Urban,large,"Named after the fourth American president, James Madison is a public research university in the Shenandoah Valley of Harrisonburg, Va. The university offers a total of 139 degree programs. Of the 76 undergraduate-level programs, some of the most popular studies include mental & social health studies, communication & media, and nursing. Despite enrolling more than 20,000 students, most class sizes contain fewer than 50 students in a 16:1 student-to-faculty ratio. From a student’s first year at the university, they are exposed to research and study abroad opportunities where they work closely with faculty mentors. JMU provides more than 400 scholarships every year to freshman and incoming students that includes merit-based, need-based, and transfer scholarships. JMU hosts more than 400 clubs and organizations, with over 4,200 students involved in Greek life, and students complete 14,000 hours of community service each year. A lifelike 5-foot-4 James Madison statue dubbed “Little Jimmy” and a larger-than-life “Big Jimmy” statue are cherished campus landmarks. JMU’s official mascot is the Duke Dog, an English Bulldog with a purple and gold crown. A menacing 2,100-pound Duke Dog statue guards the athletic facilities. JMU graduates tend to stay close by—51% of recent graduates work in Virginia and 11% work in Washington D.C., two hours from JMU’s campus.",james-madison-university,Public,Doctoral Universities: High Research Activity,17,15898024,58,33,james madison university,james madison university,22807,63.7,69.1,70.6,73.5,68.6,58.8,78.4,68.96,22807,james madison university,harrisonburg,VA,13.0,10428.0,1247.0,0.7625,0.776315789474,21816.0,,30213.0,20093.0,64070.0,53200.0,Public
12,johns hopkins university,21218,MD,A,142300.0,40251,Urban,large,"Johns Hopkins University is located in Baltimore, Maryland, a town that has been nicknamed Charm City due to its small-town feel. On campus, students have access to rare books, manuscripts and archives. Off campus, using the school’s free shuttle service, students can explore the museums and landmarks of the city. The biennial event, Hopkins on the Hill, calls upon hundreds of delegates, legislators, congressional staffers and representatives from government agencies to view the federally funded research and programming at Johns Hopkins University. America’s first research university encourages its scholars to ask big questions. Today, these questions have led to significant medical advances as well as technology designed to explore outer space. With nearly 3,700 active patents, Johns Hopkins research is responsible for potable water in the 1920’s to 21st-century prosthetic limbs. Noteworthy alumni include former CEO of IBM, Sam Palmisano, Chief White House correspondent for NBC News Hallie Jackson, and former New York City mayor Michael R. Bloomberg. ",johns-hopkins-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,47549790,67,62,johns hopkins university,johns hopkins university,21218,92.9,58.1,75.8,47.5,51.0,50.0,70.2,63.64,21218,johns hopkins university,baltimore,MD,11.0,18373.0,1553.0,0.0756,0.883720930233,,18161.0,81300.0,10250.0,94324.0,78400.0,Private
183,kansas state university,66506,KS,,114800.0,22569,Urban,large,"Kansas State University in Manhattan, KS is a large state school with pride points in research and national scholarship. K-State has more than 250 undergraduate programs. In addition to its main campus, K-State also has locations in Olathe and Salina, plus global online programs. As a Tier 1 research university, K-State has granted over 300 patents and is home to more than 90 research centers and institutes, including the Konza Prairie Biological Center. The university offers a number of funding options for undergraduate research. With more than 500 student organizations and Greek life, it is easy to get involved at the university. The Wildcats compete in the NCAA Division I. Approximately 95% of the Class of 2020 is employed or pursuing further education. Of those employed, over half remained in Kansas.",kansas-state-university,Public,Doctoral Universities: Very High Research Activity,18,21274325,94,89,kansas state university,kansas state university,66506,63.2,73.7,71.9,71.1,73.7,65.8,74.6,70.57,66506,kansas state university,manhattan,KS,13.0,10621.0,1149.0,0.7936,0.546298984035,17883.0,,25441.0,21250.0,52622.0,46600.0,Public
