Zip Code_1,school,Type_1,City_1,State_1,State FIPS_1,Locale_1,Average Faculty Salary_1,Average SAT Score_1,Admission Rate_1,4-Year Completion Rate_1,Cost of Attendance (Academic Year)_1,Median Debt of Completers_1,Median Earnings (8 Years After Entry)_1,Mean Earnings (8 Years After Entry)_1,Retention Rate_1,Student Faculty Ratio_1,rank_2,state_2,grade_2,medianBaseSalary_2,studentPopulation_2,campusSetting_2,schoolSize_2,description_2,uri_2,institutionType_2,carnegieClassification_2,studentFacultyRatio_2,totalGrantAid_2,percentOfStudentsFinAid_2,percentOfStudentsGrant_2,overall satisfaction_3,campus setting_3,student housing_3,resources_3,safety_3,teacher support_3,school admin_3,prestige_3,student competitiveness_3,student intelligence_3,party scene_3,greek life_3,student attractiveness_3,average_3,Average Net Price_1
50311,drake university,Private,des moines,IA,19,12.0,10201.0,1288.0,0.6413,0.614886731392,62407.0,23000.0,68149.0,61200.0,0.8338,10.0,223,IA,C-,122300.0,5458,Urban,medium,"Drake University is a private university located in Des Moines, Iowa. The university offers more than 100 majors, including several 3+3 law programs that include a bachelor’s degree and a juris doctorate. The school enrolls about 5,000 students from 45 states and more than 40 countries. Drake also offers J-Term, a three-week long period between the fall and spring semesters when students can take part in a focused learning program in small groups, without any distractions from other coursework.  Drake hosts NCAA Division I athletics, more than 160 student organizations and Greek life. ",drake-university,Private not-for-profit,Doctoral/Professional Universities,10,24549851.0,100.0,100.0,55.0,43.3,35.0,48.3,45.0,56.7,41.7,46.7,43.3,46.7,59.3,59.3,55.6,48.92,30042.0
19104,drexel university,Private,philadelphia,PA,42,11.0,12169.0,1337.0,0.7753,0.682054842069,75167.0,25325.0,79235.0,67400.0,0.883,9.0,146,PA,C-,132600.0,26386,Urban,large,"A private university in Philadelphia, Drexel University is driven by global research and innovation. The university, made up of more than 22,000 students, operates multiple campuses across the Philadelphia area and online. With over 200 degree programs from 15 colleges and schools, Drexel places special emphasis on technology, research and cooperative education programs. The Carnegie Classification recognized Drexel as an ""R1 Doctoral University—Very High Research Activity""—of which less than 150 schools hold the distinction. Drexel boasts a history of milestones achieved in technology alone, having been the first university to require entering students to have microcomputers, the first major university to have a fully wireless campus, and brought about the first mobile web portal service for students. Drexel’s co-op program has connected students to major companies like Google, Lockheed Martin and Johnson & Johnson. The university houses more than 300 student clubs and organizations and has over 35 Greek life chapters. The Dragons compete in 18 Division I sports within the Colonial Athletic Association. Classic Drexel events shape the Drexel student experience, including the University City 5K Run, the Drexel Drag Show and the Dragons After Dark events during late nights and weekends. ",drexel-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,95523039.0,100.0,100.0,61.8,41.2,50.0,71.9,35.1,42.1,39.5,74.6,61.4,70.2,53.5,54.6,48.2,54.16,38428.0
27708,duke university,Private,durham,NC,37,11.0,18621.0,1539.0,0.0678,0.937165775401,82749.0,13000.0,95882.0,103200.0,0.9651,6.0,20,NC,A+,158700.0,18357,Urban,large,"Duke University holds both academic and athletic merit for students enrolled at its campus in Durham, NC. Top majors at the university include computer science, economics, and public policy from Duke’s 10 schools & colleges. Graduate students vastly outnumber undergraduate students, accounting for more than half of the total student population in 2022. Beginning in Fall 2023, Duke announced that it would expand its financial assistance efforts by providing undergraduate students from North and South Carolina with full tuition coverage for families making less than $150,000. Just over half of Duke undergraduates pay less than the full cost of attendance and provide more than $130 million in grant aid every year. Equally noteworthy is the Duke’s Blue Devils athletics which represents top talent from Division I levels, including the NCAA and Atlantic Coast Conference. Tradition has it that students camp outside of Cameron Indoor Stadium to secure seats to men's basketball games in tents on an encampment known as “K-ville.” Notable Duke alumni include former U.S. President Richard Nixon, Apple CEO Tim Cook, and billionaire philanthropist Melinda French Gates.",duke-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,6,42566173.0,57.0,42.0,71.4,82.7,59.9,87.8,58.0,66.7,55.1,89.5,73.2,82.7,67.9,64.2,66.1,71.17,34454.0
15282,duquesne university,Private,pittsburgh,PA,42,11.0,9931.0,1257.0,0.7885,0.728310502283,63042.0,26244.0,70050.0,61100.0,0.8523,12.0,450,PA,C+,116100.0,9161,Urban,medium,"Duquesne University in Pittsburgh, PA is the only Spiritan Catholic institution of higher education in the United States. Undergraduates can choose from about 80 majors across eight colleges, as well as pre-med and pre-law programs and combined degree programs. Duquesne also has campuses in Rome and Dublin. The Undergraduate Research and Scholarship Symposium is held each spring and encourages undergraduates from all areas of study to engage in research. There are more than 250 student organizations at Duquesne, and numerous cultural and nightlight opportunities in Pittsburgh. About 8,000 Duquesne students, faculty and staff participate in volunteer activities annually. DU offers merit scholarships based on high school GPA, ranging up to $18,500. Other scholarship programs include the “Spirit of Community” Scholarship for students passionate about civic engagement and the National Hispanic Recognition Scholarship, a full-tuition award for the highest-ranked National Hispanic Scholar.",duquesne-university,Private not-for-profit,Doctoral Universities: High Research Activity,12,31489441.0,96.0,95.0,70.5,63.6,42.4,50.0,54.5,60.6,45.5,59.1,62.1,59.1,53.3,50.0,65.0,56.59,34978.0
27858,east carolina university,Public,greenville,NC,37,13.0,9305.0,1143.0,0.9006,0.570934256055,23689.0,22750.0,51582.0,41700.0,0.8064,17.0,313,NC,,100500.0,31263,Urban,large,"East Carolina University, part of the University of North Carolina system, is a public university committed to service and research. ECU offers more than 80 undergraduate programs, as well as over 100 online degree and certificate programs. Upwards of 40% of undergraduates are enrolled in STEM or healthcare programs. ECU is the only public university in North Carolina with a medical school, dental school and college of engineering. The university is home to more than 10 research centers, institutes and field sites. Undergraduates can receive funding for mentored research, including the $1,000 UR Mini Awards. Students can take part in over 500 student organizations, including Greek life and Division I athletics. The majority of students hail from North Carolina. With about 35% of the freshman class identifying as first-generation college students, ECU was selected as a member of the 2021-22 First-gen Forward cohort by the Center for First-generation Student Success.",east-carolina-university,Public,Doctoral Universities: High Research Activity,18,21485349.0,80.0,59.0,81.9,72.2,55.6,76.9,69.4,71.3,62.0,61.1,57.4,65.7,83.3,64.8,76.5,69.08,16514.0
61920,eastern illinois university,Public,charleston,IL,17,33.0,9286.0,1010.0,0.6775,0.523376623377,26164.0,21500.0,48019.0,40900.0,0.7071,15.0,477,IL,,101200.0,10588,Rural,large,,eastern-illinois-university,Public,Master's Colleges & Universities: Larger Programs,15,9065333.0,100.0,100.0,76.7,63.3,52.2,71.1,84.4,80.0,58.9,50.0,53.3,58.9,70.0,63.3,65.6,65.21,14093.0
27244,elon university,Private,elon,NC,37,22.0,10112.0,1222.0,0.6731,0.73570324575,59369.0,20500.0,65954.0,52800.0,0.9001,11.0,159,NC,B-,110100.0,7446,Suburban,medium,"Elon University is a private institution in central North Carolina. Founded in 1889, its 690-acre campus is home to more than 7,000 students. Elon offers more than 70 undergraduate majors across six schools, with popular studies in arts & sciences, business, and communications. Students are exposed to a wealth of additional learning opportunities that include internships, study abroad programs and undergraduate research opportunities—which can count for college credit. Its student body is rich in cultural diversity, where students hail from nearly every state and more than 50 countries. Students seeking involvement can choose from more than 200 organizations, including Greek chapters. The Elon University Phoenix fields 17 intercollegiate teams that compete at the Division I level, along with 18 intramural sports and 26 club sports. New students sign the university’s Honor Code as they officially become part of the community. At graduation, all Elon students receive an oak sapling to plant, marking the beginning of a new chapter. Notable alumni include The Daily Show writer Rich Blomquist and film producer Kenneth Utt.",elon-university,Private not-for-profit,Doctoral/Professional Universities,11,15115584.0,73.0,68.0,87.5,89.3,64.3,67.9,83.3,85.7,66.7,58.3,60.7,59.5,76.9,87.2,83.3,74.66,41048.0
32114,embry riddle aeronautical university daytona beach,Private,daytona beach,FL,12,13.0,10661.0,1256.0,0.6628,0.372737886748,59972.0,23666.0,76224.0,60800.0,0.8363,18.0,226,FL,B,129100.0,10690,Urban,large,"Embry-Riddle Aeronautical University’s sprawling 185-acre campus in Daytona Beach, FL, houses a vibrant community that prepares students to take off for aviation careers. Undergraduates can choose from almost 30 majors. Popular programs include aeronautics, aerospace engineering and mechanical engineering. ERAU has a fleet of over 70 planes, and nearly 400 training flights depart and arrive every day. The university is equipped with over 100 campus labs and facilities. Research areas include engineering, cyber and homeland security, human factors, modeling and simulation, and business. There are over 200 student organizations, and around 600 students take part in Greek life. The Eagles Flight Team competes at conferences in precision flying and knowledge events. Scholarships range from $500 to $5,000. The Boeing Scholars program is a partnership with The Boeing Company, offering between $5,000 to $7,500 a year for two years for students pursuing studies in aeronautical science and aviation maintenance science.",embry-riddle-aeronautical-university-daytona-beach,Private not-for-profit,Master's Colleges & Universities: Larger Programs,18,36669717.0,98.0,97.0,33.3,50.0,50.0,50.0,71.7,63.3,31.7,63.3,35.0,53.3,50.0,31.5,33.3,47.42,40289.0
30322,emory university,Private,atlanta,GA,13,11.0,16158.0,1507.0,0.111,0.876,78814.0,18250.0,80270.0,72300.0,0.9568,9.0,33,GA,A,138600.0,15926,Urban,large,"This private research university is located in Atlanta, Georgia was founded in 1836 and was named in honor of Methodist bishop John Emory. Emory is recognized for its liberal arts colleges and has some of the top leaders in the health and health sciences industry to drive change not just locally but globally. The Emory Global Health Institute has partnered with local communities and governments globally to implement life saving initiatives through research, partnerships, scholarship, and training. Emory allows students to pave their own paths as new passions and curiosities arise. The liberal arts curriculum encourages students to create their own academic paths by combining unrelated studies or exploring new ways to problem solve. The Emory Student Center is a central space on campus where students have access to a high-tech gaming and recreation lounge, a coffee shop, spaces for studying or socializing, and  The Dobbs Common Table that seats about 770 guests and has 10 restaurant-style food stations. Emory Alumni include American jurist and former Chief Justice of the Supreme Court of Georgia Leah Ward Sears and CEO of KBG Technologies Kathy Gibson. ",emory-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,37125884.0,56.0,51.0,66.2,77.5,62.5,85.3,83.3,72.9,62.5,84.3,74.0,80.4,55.2,54.9,64.7,71.05,23911.0
33965,florida gulf coast university,Public,fort myers,FL,12,21.0,9321.0,1120.0,0.7675,0.46740373618,18269.0,17622.0,49680.0,44000.0,0.8184,21.0,247,FL,,102600.0,18185,Suburban,large,"Dating back to 1991, Florida Gulf Coast is a large public university in Fort Myers, FL, and the second youngest member of the State University of Florida system. FGCU has kept tuition flat for seven years. 73% of students receive some form of financial aid, including $30 million in scholarships every year, and 52% of graduates leave with no debt. Undergraduates at FGCU can choose from 63 majors, with pre-professional programs in digital media design, legal studies and music therapy. The school’s 800 acre campus includes 350 acres of preserved Florida wetlands and a 15-acre solar energy field. The “Wings of Hope” program partners the school with local elementary school students to teach them about Florida’s natural ecosystems. 82% of the class of 2019 was employed a year after graduating. ",florida-gulf-coast-university,Public,Doctoral/Professional Universities,20,15961053.0,82.0,72.0,64.8,71.6,69.2,67.3,77.8,70.0,64.8,48.1,54.9,55.6,53.3,51.3,71.2,63.07,10319.0
33199,florida international university,Public,miami,FL,12,21.0,11232.0,1154.0,0.5884,0.517317380353,20556.0,16500.0,54465.0,46000.0,0.9109,24.0,138,FL,,106900.0,71842,Suburban,large,"One of the largest schools in the nation, Florida International University is a public research institution located in suburban Miami-Dade County. With over 58,000 students, the university offers more than 190 degree options across 11 schools and colleges. FIU’s diversity is represented through its student body, with over 60% of the student body being Hispanic. The university’s research department achieved R1 Carnegie Classification for research activity and reported over $281 million in research expenditures for fiscal year 2022. In 2023, Dr. Kenneth A. Jessell was sworn in as the university’s sixth president. Enrolled students—called Panthers—deepen their campus bond through one of the more than 300 clubs and organizations, sports clubs, and nearly 30 fraternities & sororities. Hundreds of student-athletes compete in 17 Division I sports. Trail of the Torch is considered FIU’s biggest tradition, where a campus-wide candlelight procession leads to the lighting of the official FIU torch. Students then gather to meet the football team, the marching band, cheerleaders, and more—a tradition that has been held for nearly 20 years. Notable FIU alumni include actor Andy Garcia and former Congresswoman Ileana Ros-Lehtinen.",florida-international-university,Public,Doctoral Universities: Very High Research Activity,24,28327469.0,91.0,89.0,69.0,74.0,60.0,77.3,69.3,68.7,58.0,65.3,66.0,65.3,69.3,54.0,81.3,67.5,9133.0
32306,florida state university,Public,tallahassee,FL,12,12.0,12781.0,1323.0,0.2538,0.729898804048,23683.0,18000.0,55983.0,48200.0,0.9469,17.0,65,FL,,111900.0,51109,Urban,large,"Situated on the oldest continuous site of higher education in the state, Florida State University in Tallahassee has deep roots in its 172-year history. As a public research institution, Florida State University boasts a large student body of around 45,000 students and offers more than 280 degree programs with popular majors in psychology, finance, and criminal justice. The university prides itself on its research achievements, being recognized by Carnegie Commission for its high research activity. FSU operates on a budget of $1.95 billion and reported more than $355 million in research expenditures for fiscal year 2022. No stranger to innovation, FSU houses the National High Magnetic Field Laboratory, which holds the most powerful magnets on earth. Students at FSU’s main campus benefit from being in the heart of Florida’s capital and stay involved through over 650 recognized student organizations. An equally athletic university, the FSU Seminoles compete in 18 Division I teams in the NCAA Atlantic Coast Conference. Upon graduation, students automatically become members of the FSU Alumni Association and as of 2023 will not have to pay membership dues.",florida-state-university,Public,Doctoral Universities: Very High Research Activity,17,67622352.0,93.0,89.0,75.9,73.8,53.9,74.1,73.3,64.5,58.3,69.0,55.4,59.2,84.5,73.2,83.9,69.15,10997.0
10458,fordham university,Private,bronx,NY,36,11.0,15544.0,1412.0,0.5628,0.786666666667,77351.0,24300.0,75002.0,60200.0,0.8767,14.0,118,NY,C-,138500.0,19240,Urban,large,"Known for its prestigious business programs, Fordham University is a private Jesuit university that operates three campuses in The Bronx, Manhattan and Westchester County, N.Y. Fordham offers more than 70 undergraduate programs across its campuses, with some of the most popular majors being business administration, public accounting and finance. Fordham is recognized for its high research activity by the Carnegie Foundation. The vast majority of undergraduates complete an internship while attending Fordham. The school has a strong partnership with surrounding businesses, and more than 3,000 New York City-based companies have employed Fordham interns. There are more than 130 student organizations at Fordham’s main Bronx campus and close to half that at its Manhattan satellite. The Fordham University Rams have more than 20 varsity NCAA Division I teams and are members of the Atlantic 10 Conference, Mid-Atlantic Conference, and the Patriot League. A wealth of notable alumni stem from Fordham. Oscar-winning actor Denzel Washington, singer-songwriter Lana Del Rey, and actress Amanda Seyfried all attended the university.",fordham-university,Private not-for-profit,Doctoral Universities: High Research Activity,14,90608630.0,96.0,96.0,83.9,76.2,54.8,75.0,51.2,75.0,53.6,77.4,65.5,71.4,59.5,22.6,76.2,64.79,42581.0
17604,franklin and marshall college,Private,lancaster,PA,42,13.0,11449.0,1394.0,0.3183,0.8,83184.0,19000.0,64068.0,55700.0,0.8645,9.0,240,PA,B-,144300.0,2198,Urban,small,"Franklin and Marshall College in Lancaster, Pa. is a private liberal arts college and one of the oldest institutions of higher learning in the country. Named after Benjamin Franklin and Supreme Court Chief Justice John Marshall, the college has more than 2,400 undergraduate students. F&M offers 60 fields of study with class sizes averaging less than 20 students. Popular majors include political science, business, and multi/ interdisciplinary studies. F&M encourages research involvement and 65% of students are in research or other faculty-led initiatives. Half of all students study off-campus before graduating, taking advantage of F&M’s 200 off-campus programs in 60 different countries. A handful of first-year students have the opportunity to study at F&M’s Bath, England campus for 16 weeks to build upon academic and cultural experiences through F&M’s Advanced Studies in England (ASE). The college hosts more than 100 student-run clubs and organizations and sponsors over 25 intercollegiate athletic teams, where nearly 30% of students participate in varsity sports. The Diplomats have plenty of beloved traditions that include a Senior Bonfire, a “FlapJack Fest” which serves breakfast during finals week, and the historic rivalry against Dickinson College’s Red Devils for the coveted Conestoga Wagon Trophy. Notable alumni include former New Jersey Attorney General Paula Dow, former White House political director Ken Mehlman, and the late Ken Duberstein, former White House chief of staff under the Reagan administration.",franklin-and-marshall-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,15884114.0,71.0,63.0,69.6,70.2,46.2,69.0,73.8,82.1,70.2,65.5,73.8,69.0,51.3,60.3,57.7,66.05,39061.0
29613,furman university,Private,greenville,SC,45,21.0,10403.0,1364.0,0.5257,0.680981595092,73760.0,23250.0,57288.0,50500.0,0.8915,9.0,149,SC,B,121000.0,2540,Suburban,small,"The oldest private university in South Carolina, Furman is known for its beautiful campus and unique academic experience. Boasting a tight-knit community of about 2,500 students, Furman provides them with a curriculum of 50 undergraduate majors and 15 minors. Many students study business, communications, and political science. More than 90% of students partake in engaged learning experiences that range from summer research fellowships to student conferences. Through the university’s “Furman Advantage,” all students are guaranteed access to study away, internship and research opportunities. Students represent all walks of life, coming from 44 states and 43 countries. Since the 1960s, Furman has had a history of championing diversity and inclusion, desegregating the university during the height of the Civil Rights movement. In 1968, Joseph Vaughn became the first Black student to graduate from the school. Decades later, Furman continues to foster the spirit of inclusivity through more than 160 student organizations. The Paladins compete at the Division I level and are members of the Southern Conference. Entering students mark the start of their Furman journey by walking along the campus's tree-lined mall, and upon graduating, students exit that same tree-lined path. Other traditions have featured events like the homecoming carnival, and celebrating seniors’ last day of class by swimming in the campus fountains, complete with pool floats. Notable Furman University alumni include Lay’s founder Herman Lay, author George Singleton and Kabbage founder Kathryn Petralia. ",furman-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,23722364.0,100.0,100.0,77.5,80.3,66.7,56.1,83.3,80.3,53.0,63.6,68.2,74.2,26.7,45.0,58.3,64.09,29997.0
22030,george mason university,Public,fairfax,VA,51,21.0,13809.0,1247.0,0.8883,0.662478336222,26972.0,19500.0,68053.0,56300.0,0.8632,16.0,228,VA,,128200.0,46892,Suburban,large,"George Mason University is the largest public research university in Virginia with a student body of nearly 40,000 students. Conveniently located in Fairfax, VA, the public research institution’s main campus uses its close proximity to Washington, D.C., to prepare future leaders, ​​policymakers, and public servants. The university's knack for discovery is best reflected through its research achievements, having been granted the highest research (R-1) designation from Carnegie Classification—one of only 131 schools in the country to hold the distinction. George Mason offers around 80 undergraduate programs, with popular fields of study in computer science, criminal justice, and psychology. Students can take advantage of George Mason’s study abroad programs that host trips to Europe, Australia, or the university’s additional campus in Songdo, Korea. Three-quarters of all freshmen live on the university’s campus in Virginia. Outside of academics, students participate in Greek life, community service, and more than 350 clubs and organizations. The George Mason Patriots compete at the NCAA Division I level and are members of the Atlantic 10 conference. Notable alumni include current Georgia State University president M. Brian Blake, along with other political figures like Steve Ricchetti, counselor to the president under the current Biden administration, and Karl Rove, former White House deputy chief of staff under the Bush administration.",george-mason-university,Public,Doctoral Universities: Very High Research Activity,16,30439120.0,80.0,74.0,60.7,58.7,42.9,72.2,66.7,57.9,46.8,50.0,50.0,61.7,38.9,37.3,69.8,54.89,18287.0
20052,george washington university,Private,washington,DC,11,11.0,16011.0,1433.0,0.4354,0.773119605425,80727.0,20449.0,78974.0,74900.0,0.9079,12.0,67,DC,B-,148300.0,29905,Urban,large,"Just a short walk from Washington, D.C.’s National Mall is The George Washington University, the largest research institution in the city. GW has a network of additional campuses, including its Foggy Bottom Campus, Mount Vernon Campus, and The Virginia Science and Technology Campus. The private research university boasts a proud alumni base with prominent figures in government and business. Common programs throughout its 10 schools include international relations and affairs, political science, and government. GW’s Elliott School of International Affairs is recognized as a top school for careers in government and the social sciences. Students study in the heart of the nation's capital while benefiting from career opportunities from internships with the White House, National Institutes of Health, and World Bank. Students also engage in campus traditions that often include GW’s annual Midnight Breakfast and celebrating the First Night for new and returning students. United States Senator Elizabeth Warren and actress Kerry Washington are just a handful of famed GW alumni. ",george-washington-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,12,70548936.0,79.0,78.0,61.7,57.3,78.1,71.9,72.9,57.3,39.6,69.8,65.6,64.1,66.1,48.4,62.5,62.72,37454.0
20057,georgetown university,Private,washington,DC,11,11.0,17306.0,1494.0,0.1308,0.884561891516,84696.0,15500.0,88766.0,101400.0,0.9686,11.0,32,DC,B,163400.0,23948,Urban,large,"Located on a hilltop in Washington D.C, the private school Georgetown University offers students a campus and city lifestyle. Just a short metro ride away, students can find themselves in an international city that is home to more than 170 embassies, and landmarks such as the Smothsonian museums, the Library of Congress and more. 1 in 10 undergraduate students at Georgetown are college athletes and there are 30 Division 1 teams on campus. While at the Capital One Arena, for Hoya Basketball games, students will see Jack the Bulldog, Georgetown’s live mascot. Next to Jack, there will be a member of Jack’s Crew, a club on campus where students assist in the day-to-day care and training of Georgetown’s bulldog mascot. If students wish to start a club outside of the 350 clubs that Georgetown currently offers, they have the option to start their own club through the Center for Student Engagement. At Georgetown, students are welcome to utilize opportunities outside of the classroom by engaging in real-world problem-solving through internships on Capitol Hill or with federal agencies, nonprofits, tech and media organizations, and more. Noteworthy alumni include former United States president and politician Bill Clinton, the late Supreme Court Justice Antonin Scalia and American actor Bradley Cooper.",georgetown-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,11,24536568.0,45.0,34.0,78.6,79.8,51.2,71.4,62.2,65.6,52.4,86.7,81.1,78.9,61.1,5.6,65.6,64.63,39433.0
30332,georgia institute of technology,Public,atlanta,GA,13,11.0,15224.0,1447.0,0.1646,0.597126795753,27797.0,21672.0,94647.0,73200.0,0.978,18.0,38,GA,,163500.0,52051,Urban,large,"Georgia Tech’s main campus is located in Atlanta, Georgia and offers majors and degrees through the colleges of Design, Computing, Engineering, Sciences, the Scheller College of Business, and the Ivan Allen College of Liberal Arts. The Georgia Tech Research Institute is annually awarded with nearly $1.3 billion to develop leaders who conduct research to advance technology globally. Campus traditions include the “Ramblin’ Wreck” fight song and The Whistle, which mimics an industrial whistle, blows five minutes to the hour to end classes on certain days of the week and blows after Tech touchdowns during home games. Buzz made his first campus appearance in 1980 and is the mascot of the Georgia Tech Yellow Jackets. The Week of Welcome is Tech’s orientation week where new students learn about campus traditions. Noteworthy alumni include female American astronaut Jan Davis, the 39th U.S. President Jimmy Carter, former professional NBA player Chris Bosh, and American Engineer Dean Kamen. ",georgia-institute-of-technology-main-campus,Public,Doctoral Universities: Very High Research Activity,19,34112479.0,73.0,71.0,78.4,60.4,50.0,80.6,61.5,52.0,57.7,88.9,81.8,87.6,42.2,56.8,38.6,64.35,13289.0
30460,georgia southern university,Public,statesboro,GA,13,32.0,9080.0,1057.0,0.8963,0.421656507709,24563.0,23250.0,49438.0,42500.0,0.7426,24.0,463,GA,,103400.0,31296,Rural,large,"Georgia Southern University is a patriotic public university in Statesboro, GA. Known as the Eagle Battalion, the Georgia Southern ROTC program is one of the top ROTC units in the country, receiving the MacArthur Award four times. The school is also one of the top producers of military nurses in the country. Exercise Science is one of Georgia Southern’s most popular majors, offering concentrations in fields such as inclusive physical activity, sport performance and pre-physical therapy. Other popular fields of study are business administration and biology. Continuing in the patriotic spirit, the university’s official mascot is a live American Bald Eagle. Country music star Luke Bryan is a Georgia Southern alumnus, majoring in business administration and starting his music career in Statesboro venues.",georgia-southern-university,Public,Doctoral Universities: High Research Activity,22,45483019.0,97.0,95.0,59.1,60.6,47.0,62.1,53.3,69.7,43.9,56.1,50.0,56.1,69.7,57.6,57.6,57.14,16531.0
30303,georgia state university,Public,atlanta,GA,13,11.0,10118.0,1149.0,0.6228,0.310962373372,26535.0,20903.0,42670.0,43300.0,0.783,25.0,365,GA,,108800.0,43099,Urban,large,"A large, public research university in the heart of Atlanta, Georgia State aims to ready students for professional work and establish a new generation of student leaders. Students at GSU can choose from 250 majors and minors, with popular programs in business, the social sciences and psychology. Georgia State has a very diverse student body, and is officially classified as a minority-serving institution: 41% of the student body is Black, 15% is Asian and 12% is Hispanic. The school’s “Baldwin Book Club” gives students a venue for discussing racial justice literature. GSU offers several merit-based scholarships, including the highly competitive Presidential Scholarship, which covers tuition and all fees, and the Achieve Atlanta scholarship for graduates of Atlanta’s public school system. Notable GSU alumni include rapper and actor Ludacris and former Bank of America CEO Ken Lewis. ",georgia-state-university,Public,Doctoral Universities: Very High Research Activity,26,62452548.0,95.0,94.0,62.5,49.3,50.0,65.3,44.4,54.2,51.4,40.3,47.2,54.9,44.4,31.9,61.1,50.53,15931.0
99258,gonzaga university,Private,spokane,WA,53,12.0,10610.0,1316.0,0.7596,0.808870116156,69290.0,24454.0,76082.0,54800.0,0.9323,12.0,153,WA,B-,133500.0,8229,Urban,medium,"Gonzaga is a private Jesuit, liberal arts university in Spokane, Washington, known for its competitive basketball program and moral outlook. More than 7,000 students were enrolled in Fall 2022. All Gonzaga students complete a core curriculum based on Jesuit and humanistic principles, taking courses in the philosophy of human nature and Christianity and Catholic traditions. Through the Gonzaga Access Pledge, Pell Grant-eligible Washington residents attend Gonzaga tuition free. Gonzaga is perhaps best known for its elite men’s basketball team, who compete as the Bulldogs and are cheered on by the student section, appropriately known as the “Kennel Club.” ",gonzaga-university,Private not-for-profit,Doctoral/Professional Universities,12,36102082.0,100.0,100.0,75.0,66.7,56.3,50.0,75.0,77.1,50.0,50.0,54.2,52.1,47.6,2.4,59.5,55.07,36371.0
1984,gordon college,Private,wenham,MA,25,41.0,7655.0,1268.0,0.5878,0.631736526946,41160.0,26250.0,47385.0,44400.0,0.8357,11.0,475,MA,C,113200.0,2233,Suburban,small,"Located in Wenham, MA, just 30 miles from Boston, Gordon College is a liberal arts school dedicated to incorporating Christian values into higher education. Students at Gordon College can pick from 40 majors, with each student required to take core classes dedicated to developing a Christian worldview. Some of the most popular majors at Gordon are psychology, business administration and English language and literature. The school also offers more than 150 honors, scholars, fellow and leadership programs, as well as offering six global study opportunities across six continents. Gordon awards about $29 million in financial aid every year, with 99% of students receiving some form of it. The college has more than 50 student clubs and organizations on campus. Committed to Christian values, the college prohibits alcohol and tobacco use on campus, and students are expected to attend twice-weekly chapel services. Nearly three-quarters (72%) of Gordon College students find a job within a year of graduation and over 30% participate in an internship during their academic career. The school hosts over 40 events and seminars throughout the year to help students find career opportunities.",gordon-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,14,4766786.0,100.0,100.0,82.5,75.9,68.5,68.5,93.8,88.9,81.5,55.6,70.4,73.3,29.6,27.8,68.5,68.06,24817.0
49401,grand valley state university,Public,allendale,MI,26,31.0,9983.0,1079.0,0.9469,0.552175749894,26578.0,24500.0,51712.0,42800.0,0.779,15.0,481,MI,,98500.0,25460,Suburban,large,"Grand Valley State University is a large public institution 12 miles west of Grand Rapids in Allendale, Michigan. GVSU’s main campus sits on more than 1,000 acres of land, and the school operates seven other locations throughout Michigan. A quarter of students participate in faculty-led research. The GVSU Lakers are a Division II athletic powerhouse. Their 25 team and 77 individual national championships are among the 15 most of any Division II school. The Lakers’ women’s soccer and women’s cross country teams are the school’s most dominant sports, each with four national titles since 2014. There are more than 130,000 GVSU alumni, three-quarters of whom live in Michigan.",grand-valley-state-university,Public,Doctoral/Professional Universities,15,31136702.0,95.0,93.0,61.1,75.3,50.0,69.1,80.9,70.4,58.6,48.1,54.3,58.0,54.3,42.6,67.9,60.82,17096.0
50112,grinnell college,Private,grinnell,IA,19,33.0,12177.0,1486.0,0.1268,0.857740585774,79228.0,17500.0,58562.0,45800.0,0.9316,9.0,81,IA,A,121900.0,1787,Rural,small,"Grinnell College is a private liberal arts and sciences college in Grinnell, Iowa that provides individually focused and advised learning with a 9:1 student-faculty ratio, over 500 course offerings every year, and degrees in 28 fields with 17 concentrations. The First-Year Experience is a required course for freshmen to engage in discussions about personal sustainability, respect, and using resources on campus. Driven by curiosity, Mentored Advanced Projects is an academic opportunity to conduct advanced research or producing an original creative work where professors may invite students to join in on their ongoing research or you ask a professor to mentor you through a research project of your choice.",grinnell-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,18116952.0,91.0,91.0,72.5,70.0,55.0,66.7,85.0,81.7,55.0,55.0,61.1,76.7,48.1,0.0,46.3,59.47,15608.0
